# ref_id x y z occupancy n_extra
379779 -55.45312886 3.62182533 -30.29315652 2 1
379780 -57.12119355 5.38103269 -30.32567442 2 1
379784 -53.64597860 5.30365090 -30.39340394 2 1
379826 -12.38704862 5.40273224 -32.15488881 2 1
379839 -1.88727247 3.63978245 -30.37820778 2 1
379842 -69.70096532 8.87864672 -32.08369857 2 1
379845 -67.95352282 7.12158884 -32.12902731 2 1
379846 -66.13080963 8.78776850 -32.06485046 2 1
379850 -62.54052327 8.88459599 -32.09506835 2 1
379851 -62.47551660 7.07396242 -30.33351173 2 1
379855 -59.00508372 7.11286380 -30.44514128 2 1
379856 -60.68048541 8.94122141 -30.43523947 2 1
379857 -57.21263603 7.07453370 -32.17516425 2 1
379937 -57.10246963 10.64564574 -32.13665002 2 1
380194 -5.32796408 -5.31983844 -28.53347677 2 1
